Id,SalePrice
1461,132265.67
1462,156386.4
1463,180370.69
1464,188639.16
1465,197340.17
1466,183998.45
1467,180172.64
1468,172445.03
1469,174146.83
1470,119911.83
1471,205209.69
1472,87854.75
1473,95805.81
1474,150415.06
1475,127907.68
1476,367666.62
1477,257579.58
1478,290803.0
1479,258111.0
1480,444534.5
1481,301865.38
1482,206908.92
1483,168171.89
1484,168008.94
1485,168806.72
1486,202811.67
1487,327118.22
1488,233033.48
1489,215876.48
1490,201927.48
1491,187629.33
1492,82231.96
1493,175372.17
1494,276092.34
1495,285751.44
1496,221327.81
1497,182422.48
1498,155409.45
1499,155902.1
1500,157370.05
1501,172108.38
1502,150162.31
1503,317084.97
1504,237588.56
1505,220912.89
1506,186118.88
1507,246429.95
1508,199275.64
1509,161967.48
1510,151425.69
1511,148199.06
1512,169950.45
1513,140280.02
1514,178916.9
1515,203279.08
1516,154754.27
1517,166419.06
1518,122659.2
1519,229257.77
1520,136040.58
1521,145444.86
1522,171333.75
1523,113531.766
1524,123622.22
1525,127779.695
1526,118368.34
1527,105503.53
1528,134615.27
1529,150295.47
1530,157915.84
1531,110113.72
1532,100829.84
1533,154387.78
1534,121545.35
1535,156992.6
1536,109804.78
1537,78922.164
1538,167101.98
1539,206572.38
1540,98577.5
1541,146507.31
1542,143313.22
1543,206304.58
1544,80183.695
1545,108359.19
1546,129373.79
1547,138446.34
1548,137676.64
1549,116328.57
1550,145219.23
1551,114552.01
1552,128478.99
1553,148613.33
1554,112757.164
1555,177994.2
1556,91175.82
1557,111374.54
1558,98479.26
1559,94856.57
1560,143058.2
1561,144448.6
1562,129254.87
1563,118406.45
1564,158359.81
1565,153025.81
1566,250445.84
1567,72234.3
1568,239887.19
1569,130592.54
1570,139924.98
1571,132717.53
1572,146301.6
1573,265002.56
1574,115000.36
1575,204519.4
1576,229006.77
1577,201602.23
1578,141509.2
1579,150381.3
1580,194812.19
1581,155035.34
1582,129932.734
1583,323718.3
1584,233443.66
1585,138798.69
1586,76484.48
1587,103425.375
1588,153494.0
1589,104792.94
1590,135429.03
1591,99718.38
1592,120342.95
1593,118770.664
1594,159994.61
1595,119982.805
1596,217600.08
1597,179224.42
1598,195935.66
1599,191313.02
1600,186571.11
1601,74546.77
1602,116993.71
1603,95191.39
1604,264337.75
1605,252351.69
1606,174678.53
1607,165652.73
1608,221105.77
1609,201950.11
1610,169040.58
1611,149001.33
1612,173337.72
1613,176763.8
1614,115119.87
1615,82950.07
1616,76206.08
1617,90298.39
1618,126178.76
1619,143248.36
1620,163716.6
1621,145478.39
1622,138549.27
1623,281172.38
1624,213582.45
1625,122556.69
1626,170591.48
1627,188908.6
1628,264554.7
1629,176904.42
1630,342954.2
1631,212737.03
1632,250149.62
1633,172283.81
1634,183355.25
1635,183394.73
1636,160066.89
1637,189277.39
1638,190238.48
1639,184160.88
1640,248830.56
1641,182876.47
1642,226060.48
1643,219857.48
1644,233884.25
1645,194903.73
1646,157517.48
1647,164594.88
1648,131807.92
1649,139804.8
1650,117351.92
1651,124611.04
1652,89888.63
1653,96775.375
1654,149438.83
1655,152671.11
1656,145955.42
1657,152218.86
1658,145821.89
1659,132892.47
1660,154826.61
1661,459657.94
1662,394099.38
1663,369874.0
1664,422694.53
1665,325732.47
1666,346874.03
1667,367328.0
1668,334692.47
1669,282932.28
1670,342455.03
1671,271010.2
1672,435696.6
1673,311802.66
1674,243916.17
1675,190384.83
1676,191750.55
1677,221786.0
1678,444456.22
1679,394234.03
1680,336470.16
